source,review_id,source_object_id,author,review_text,rating,review_date,url,text_cleaned,rating_normalized,language,is_duplicate,quality_status,review_date_raw
yandex,yandex_1244089476_16503016235cabb9,1244089476,Канат Секеев,"Не знаю кому как ? Но мне нравится гостиницы Советского прошлого. Здание фундаментальное, стены через которые не слышно соседей, можно выспаться, никто не тревожит всякими глупыми вопросам, всегда есть дежурная по этажу, на ресепшене всегда есть кто ответит на все вопросы, подскажет ближайшее кафе где не дорого и вкусно, ну прочее. Да интерьер желает улучшений, но постель и кровать достойного качества. Да порой напоминает другие гостиницы , ну там например Шымкент, или Уральск. Но всё же мне очень нравится останавливаться в таких гостиница. Да и с документами всё в порядке. Могут даже через курьера выслать. Так что ставлю ПЯТЬ звёзд.",5.0,2025-10-06,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Не знаю кому как ? Но мне нравится гостиницы Советского прошлого. Здание фундаментальное, стены через которые не слышно соседей, можно выспаться, никто не тревожит всякими глупыми вопросам, всегда есть дежурная по этажу, на ресепшене всегда есть кто ответит на все вопросы, подскажет ближайшее кафе где не дорого и вкусно, ну прочее. Да интерьер желает улучшений, но постель и кровать достойного качества. Да порой напоминает другие гостиницы , ну там например Шымкент, или Уральск. Но всё же мне очень нравится останавливаться в таких гостиница. Да и с документами всё в порядке. Могут даже через курьера выслать. Так что ставлю ПЯТЬ звёзд.",5.0,ru,False,valid,
yandex,yandex_1244089476_d9d8d086d5f589ac,1244089476,Светлана Гавриленко,"Цена конечно самая выгодная в городе. Удачное месторасположения.Завтраки тоже нормальные. Но... Администраторы гостям не особо не рады. WI-FI работает плохо. Либо его вообще нет, либо работает с перерывами. Утюга нет. Телевизор не работает. Хочется верить, что после ремонта здесь будет все хорошо.",4.0,2026-04-28,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Цена конечно самая выгодная в городе. Удачное месторасположения.Завтраки тоже нормальные. Но... Администраторы гостям не особо не рады. WI-FI работает плохо. Либо его вообще нет, либо работает с перерывами. Утюга нет. Телевизор не работает. Хочется верить, что после ремонта здесь будет все хорошо.",4.0,mixed,False,valid,
yandex,yandex_1244089476_c63fa0c8ad8c5538,1244089476,дмитрий третьяк,"Отель расположен в удобном месте. Номера оборудованны всем необходимым,без излишеств удорожания. Цена очень демократичная,останавливаюсь не в первый раз. Персонал приветливый. Спасибо вам.",5.0,2025-07-25,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Отель расположен в удобном месте. Номера оборудованны всем необходимым,без излишеств удорожания. Цена очень демократичная,останавливаюсь не в первый раз. Персонал приветливый. Спасибо вам.",5.0,ru,False,valid,
yandex,yandex_1244089476_3c720d308f31d0f9,1244089476,Роман Ф.,"Номер норм. Есть все,что необходимо. Чисто. Без посторонних запахов. Не взяли дополнительную плату за раннее заселение. Завтрак без излишеств, но достаточно вкусный.",5.0,2025-03-24,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Номер норм. Есть все,что необходимо. Чисто. Без посторонних запахов. Не взяли дополнительную плату за раннее заселение. Завтрак без излишеств, но достаточно вкусный.",5.0,ru,False,valid,
yandex,yandex_1244089476_538798156f566d55,1244089476,Денис Каменских,"Неплохая гостиница если надо остановиться на пару дней. Чувствуется дух советского союза. Номер был чистый, весь набор для гигиены. Порадовал завтрак. Спасибо!",5.0,2025-09-02,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Неплохая гостиница если надо остановиться на пару дней. Чувствуется дух советского союза. Номер был чистый, весь набор для гигиены. Порадовал завтрак. Спасибо!",5.0,ru,False,valid,
yandex,yandex_1244089476_ab1ae85059a9862c,1244089476,Валентин Радионов,"Номер был теплый, чистый. С пузатым телевизором - прям детством повеяло. В общем, за очень демократичную цену можно переночевать. Для большего антуража советую посмотреть советскую комедию. Кстати, персонал был вежлив",5.0,2025-11-28,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Номер был теплый, чистый. С пузатым телевизором - прям детством повеяло. В общем, за очень демократичную цену можно переночевать. Для большего антуража советую посмотреть советскую комедию. Кстати, персонал был вежлив",5.0,ru,False,valid,
yandex,yandex_1244089476_d08a0fbdb4def748,1244089476,Татьяна,"Дорогая гостиница. Цена не соответствует условиям. Все старое, и ремонт и мебель и рамы в окнах ( зимой в окна дует). 2 звезды ставлю за вкусный завтрак. Не рекомендую",2.0,2025-03-10,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Дорогая гостиница. Цена не соответствует условиям. Все старое, и ремонт и мебель и рамы в окнах ( зимой в окна дует). 2 звезды ставлю за вкусный завтрак. Не рекомендую",2.0,ru,False,valid,
yandex,yandex_1244089476_e6493097a7ea6b64,1244089476,Ринат М.,"Не дорого, выглядит как назад в СССР, крутой антураж, приветливый персонал, видно стараются поддерживать порядок, несмотря на то что здание старше нас всех вместе взятых, прям музей",5.0,2026-05-08,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Не дорого, выглядит как назад в СССР, крутой антураж, приветливый персонал, видно стараются поддерживать порядок, несмотря на то что здание старше нас всех вместе взятых, прям музей",5.0,ru,False,valid,
yandex,yandex_1244089476_7e2b0d3f046a1bbf,1244089476,Александр Третьяков,"Гостиница на которую можно рассчитывать. Всегда есть свободные номера, за зданием гостиницы охраняемая стоянка, персонал вежливый, в номере чисто, горячая вода, полотенца чистые и туалетные принадлежности имеются.",4.0,2024-09-14,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Гостиница на которую можно рассчитывать. Всегда есть свободные номера, за зданием гостиницы охраняемая стоянка, персонал вежливый, в номере чисто, горячая вода, полотенца чистые и туалетные принадлежности имеются.",4.0,ru,False,valid,
yandex,yandex_1244089476_0b686cc23d2c1e2d,1244089476,Igor Khlebnikov,"Отличный отель за свои деньги с уникальным антуражем. Очень чисто и опрятно, хотя мебель в большинстве своем не новая",5.0,2025-10-17,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Отличный отель за свои деньги с уникальным антуражем. Очень чисто и опрятно, хотя мебель в большинстве своем не новая",5.0,ru,False,valid,
yandex,yandex_1244089476_811c8899e707aadb,1244089476,Людмила Покалюк,"Хороший номер. Просторный. Уютный отель с этническими ""нотками"", с замечательным расположением. Внимательный песонал. Систематически производилась уборка номера. В ресторане был неплохой выбор блюд, приветливый персонал. В следующий раз, обязательно остановимся именно в этой гостинице.",5.0,2023-08-04,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Хороший номер. Просторный. Уютный отель с этническими ""нотками"", с замечательным расположением. Внимательный песонал. Систематически производилась уборка номера. В ресторане был неплохой выбор блюд, приветливый персонал. В следующий раз, обязательно остановимся именно в этой гостинице.",5.0,ru,False,valid,
yandex,yandex_1244089476_51cb8007ea10bb21,1244089476,Abai-astana,"Не плохая гостиница за свои деньги. Для тех, кто ностальгирует по СССР прям ""доктор прописал"" - от архитектуры и лифта и до планировки - все как окно в Союз))). Если поеду с семьей, то остановится вполне не плохой вариант, не дорого и чисто",4.0,2024-06-13,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,"Не плохая гостиница за свои деньги. Для тех, кто ностальгирует по СССР прям ""доктор прописал"" - от архитектуры и лифта и до планировки - все как окно в Союз))). Если поеду с семьей, то остановится вполне не плохой вариант, не дорого и чисто",4.0,ru,False,valid,
yandex,yandex_1244089476_1097e568cea6420a,1244089476,Sergey Teteryuk,Отель требует реновации и ремонта. В целом чисто и соответствует цене. Выбор завтраков не большой. Персонал приветливый и хороший.,4.0,2025-04-26,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,Отель требует реновации и ремонта. В целом чисто и соответствует цене. Выбор завтраков не большой. Персонал приветливый и хороший.,4.0,ru,False,valid,
